question,answer_llm,answer_orig,document
"Why does my OPENAI_API_KEY keep showing as missing inside Jupyter, and how do I fix it?","Inside Jupyter, `OPENAI_API_KEY` usually shows as missing because the notebook hasn’t loaded your `.env` file into the Python session.

Fix it like this:

1. Install `python-dotenv`:
```bash
pip install python-dotenv
```

2. Load the `.env` file in your notebook **before** creating the OpenAI client:
```python
from dotenv import load_dotenv

load_dotenv()
```

3. Make sure the variable in your `.env` file is named exactly:
```env
OPENAI_API_KEY=your_key_here
```

If it’s still missing, double-check that the notebook is running in the same directory as the `.env` file, or that the path to the file is correct.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
"If I already put the key in a .envrc file, why is the notebook still throwing the api_key error?","Because `.envrc` is not automatically read by the notebook.

In the notebook, you need to load the environment file explicitly, for example with `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()
```

Also make sure the variable is named exactly `OPENAI_API_KEY`.

If you’re still seeing the error after that, I don’t know.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
What’s the easiest way to make OpenAI API auth work in a notebook when direnv isn’t enough?,"The easiest way is to load your API key from a `.env` file inside the notebook with `python-dotenv`:

```bash
pip install python-dotenv
```

```python
from dotenv import load_dotenv
load_dotenv()
```

Then make sure the variable is named exactly `OPENAI_API_KEY` in your `.env` file.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How do I use python-dotenv to load my environment variables from .envrc in Jupyter?,"`python-dotenv` loads a `.env` file, not `.envrc`.

In Jupyter, do this:

```python
from dotenv import load_dotenv

load_dotenv()  # loads .env from the current project root
```

If your variables are in `.envrc`, the context doesn’t say `python-dotenv` loads that file directly. I don’t know.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
"Can I store OPENAI_API_KEY in GitHub Codespaces instead of setting it locally, and how do I do that?","Yes — for GitHub Codespaces, you should use **Codespaces secrets** instead of storing `OPENAI_API_KEY` in a local `.env` file in the repo.

The course notes say:

- **For GitHub Codespaces, use the built-in Codespaces secrets**
- This is the preferred way to keep the key available in your Codespace without putting it in the repository

How to do it:
1. Open your GitHub Codespaces settings for the account/repo.
2. Create a new secret named `OPENAI_API_KEY`.
3. Paste your API key as the value.
4. Restart or reopen the Codespace if needed so it becomes available.

If you want the key available automatically in a local setup instead, the course recommends using `dirdotenv` with a `.env` file — but for Codespaces specifically, use secrets.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How can I figure out the GPT-4o token count for homework 6 if I’m using Groq and there’s no tokenizer for it?,"Use Groq’s response object and read the usage/token fields from it, rather than trying to tokenize GPT-4o text yourself.

If Groq exposes token usage, use those fields directly. If it doesn’t, use Groq’s native tokenizer as an approximation. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Groq/GPT-4o, because tokenization differs by model.

If your question is specifically about homework scoring, choose the closest option.","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Do I need an OpenAI API key just to check how many tokens a prompt has in this assignment?,I don't know.,"For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
What library should I use to estimate the number of OpenAI tokens in question 6?,Use `tiktoken`.,"For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Is there a way to count GPT-4o tokens without using the OpenAI API itself?,I don't know.,"For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
"If Groq doesn’t have a tokenizer, what’s the simplest way to get the token number the homework wants?","The simplest way is to **use the token count returned by the model response object**.

For Groq, check the response’s `usage` fields if they’re available. If Groq doesn’t expose token usage in the response, then use Groq’s **native tokenizer** as an approximation.

Do **not** use `tiktoken` or `cl100k_base` as a generic tokenizer for Groq.","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Can I swap OpenAI for Groq in the course exercises and final project?,"Yes — you can swap OpenAI for Groq in the course exercises, as long as the code uses an OpenAI-compatible endpoint.

For the course code, that usually means changing:
- `base_url` to Groq’s OpenAI-compatible URL
- the API key
- the model name

For example, Groq works with the OpenAI client when pointed at:

`https://api.groq.com/openai/v1`

For the capstone/final project, you’re not restricted to OpenAI either — you can use Groq, another provider, or even a local model.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
Is it okay to use a different LLM platform instead of OpenAI for the homework?,"Yes — you can use a different LLM platform/provider instead of OpenAI. The course isn’t tied to OpenAI, and anything with an OpenAI-compatible endpoint or a locally served model should work.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Do I need a paid API like OpenAI to finish the assignments, or can I run everything locally?","No — you don’t need a paid OpenAI API to finish the assignments.

You can use:
- a different hosted provider,
- an OpenAI-compatible API,
- or run a model locally with tools like Ollama, vLLM, or LM Studio.

The homework is designed so you do not need a paid service. If you use a local model or another provider, you may need to adjust the code a bit.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"If I use another model provider, will I have to change the code myself?","Yes — in many cases you’ll need to change the code a little.

If the other provider is **OpenAI-compatible**, you usually only need to update:
- `base_url`
- API key
- model name

But for some providers you may also need to adapt:
- **response format**
- **tool schema**
- **token counting / tokenizer logic**

So: **sometimes only small config changes, sometimes a bit of code adjustment**.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
Where should I look if I want to adapt the project to a platform like Groq?,"Look at the project examples from previous years to understand the expected scope:

- 2024 projects: https://courses.datatalks.club/llm-zoomcamp-2024/projects
- 2025 projects: https://courses.datatalks.club/llm-zoomcamp-2025/projects

If you want feedback on your adaptation idea, you can also ask in Slack.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"Why does my homework query return an empty list after filtering, even though the data is there?","This is likely an indexing issue. You need to add the index settings **before** inserting the data into the indices; otherwise, filtering and querying may return an empty list even though the data exists.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
What am I missing if my Q3 filter gives no results in the LLM Zoomcamp homework?,I don't know.,"This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Could this be an indexing problem if the search comes back empty after I apply the filter?,"Yes — this is likely an indexing problem. If the search returns empty after applying a filter, the context says the first thing to check is whether the data was indexed correctly. In particular, make sure you add the index settings before inserting the data into the index.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Do I need to set up the index differently before loading the data for this assignment?,"Yes — you should set up the index settings **before** loading the data into the index. If the settings are added after the data, it can cause indexing problems and lead to empty results when filtering.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
How should I fix the empty results issue in HW Q3 when using filters and queries?,"This is likely an indexing issue. You should **add the index settings before adding the data** to the index. Once the data is indexed correctly, your filters and query should work and stop returning an empty list.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Why do I get a different token count in tiktoken than what OpenAI shows in the API response?,"Because `tiktoken` only counts the tokens in the text you see, while OpenAI’s API also counts hidden formatting tokens added by the chat/completions format.

In particular:

- Each chat message adds about 4 structural tokens
- The API adds 2 extra tokens to mark the assistant response start
- Whitespace, newlines, and some Unicode characters can also change the count

So a prompt that looks like 320 tokens in `tiktoken` might show as 327 in OpenAI’s response.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"How come my prompt has 320 tokens locally, but OpenAI says 327 for the same request?","Because OpenAI’s API counts more than just your visible text.

Even if `tiktoken.encode()` shows 320 tokens locally, OpenAI may report 327 because:

- each chat message adds structural tokens for the role/content/separators
- the API adds 2 tokens to mark the start of assistant generation
- extra whitespace, newlines, or unusual Unicode can add a few more

So the difference is due to OpenAI’s internal chat formatting, not necessarily an error in your local count.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
Does chat.completions.create add extra tokens beyond the text I send?,"Yes. `chat.completions.create()` can add extra internal tokens beyond the text you send.

According to the course context:
- Each message adds about **4 structural tokens** for chat formatting.
- The API also adds **2 tokens globally** to mark the assistant response start.
- Extra whitespace, newlines, or uncommon Unicode can add a few more.

So OpenAI’s reported token count can be higher than a plain `tiktoken.encode()` count of your visible text.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
What makes OpenAI count more tokens than just encoding the visible message content?,"OpenAI counts more tokens because chat requests include hidden formatting tokens, not just the visible text.

Specifically:
- each message adds 4 structural tokens for things like the role, separators, and content framing
- the API adds 2 global tokens to start assistant generation
- extra whitespace or unusual Unicode can also add a few tokens

So the reported count can be higher than the token count of the plain message content alone.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"Can whitespace, newlines, or weird Unicode characters change the token total in OpenAI chat requests?","Yes. In OpenAI chat requests, extra whitespace, newlines, and some uncommon Unicode characters can slightly change the token total. The course context notes that OpenAI also adds internal chat-formatting tokens, so the count you get from `tiktoken.encode()` may differ from what OpenAI reports.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
How can I set my API key once so I don’t have to export it in every new terminal?,"Use `dirdotenv` so the key is loaded automatically when you enter the project folder.

```bash
uv tool install dirdotenv
```

Then add this to your `~/.bashrc` or `~/.zshrc`:

```bash
eval ""$(dirdotenv hook bash)""   # or zsh
```

Inside your project, create a `.env` file:

```bash
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the API key will be loaded automatically whenever you `cd` into that directory.

Also make sure `.env` and `.envrc` are in `.gitignore` so you never commit your key.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
Is there a way to make env vars load automatically when I enter a project folder?,"Yes — you can make them load automatically when you enter a project folder by using a tool like `direnv`.

The course context specifically recommends loading env vars with `python-dotenv` inside Python, but for automatic loading in the shell, `direnv` is a common option.

If you want, I can show you a simple setup for `direnv`.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
What’s the easiest setup for keeping my OpenAI key in a project without putting it in the code?,"The easiest setup is to put your key in a `.env` file and load it from there, instead of hardcoding it in the project.

For example:

```env
GEMINI_API_KEY=your-key-here
```

Then in code:

```python
import os
from dotenv import load_dotenv

load_dotenv()
api_key = os.getenv(""GEMINI_API_KEY"")
```

The context also notes that you should never commit your keys to Git.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
How should I handle API keys in GitHub Codespaces so they aren’t stored in the repo?,"Use GitHub Codespaces secrets instead of putting API keys in files in the repo.

If you’re working locally, store keys in a `.env` file and add `.env` to `.gitignore` so it never gets committed.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"If I’m running Python scripts, what can I use to load a .env file automatically?","Use `python-dotenv` and call `load_dotenv()` in your script:

```python
from dotenv import load_dotenv

load_dotenv()
```

This automatically loads variables from the `.env` file.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"How do I install Ollama on macOS, Windows, or Linux for this course?","Install Ollama from the official download page: https://ollama.com/download

- **macOS**: download the `.pkg` installer and run it.
- **Windows**: download the `.msi` installer and run it.
- **Linux**: run:
  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

After installation, you can test it with:

```bash
ollama run llama3
```

And optionally check the local server with:

```bash
curl http://localhost:11434
```","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
What should I run after installing Ollama to download and start LLaMA 3 locally?,"Run:

```bash
ollama run llama3
```

This will download and start LLaMA 3 locally.","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
How can I quickly check if the Ollama server is actually running on my machine?,"Quickly test it with:

```bash
curl http://localhost:11434
```

If Ollama is running, you should get a response like:

```json
{""models"": [...]}  
```

If you get a connection error, the server is not running.","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
"After installing Ollama, how do I get the Python package and use it from a script?","Install the Python client with:

```bash
pip install ollama
```

Then use it in your script like this:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```

Make sure Ollama is running locally first, for example by starting it with:

```bash
ollama run llama3
```","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
What’s the simplest example of calling Ollama chat from Python with a prompt?,"Here’s the simplest Python example from the course context:

```python
import ollama

your_prompt = ""What is RAG?""

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
"Why am I getting a connection refused error when I prompt my Ollama RAG, and how do I fix it?","You’re likely getting the error because the Ollama server is not running or was stopped when the notebook cell was restarted.

To fix it, restart Ollama with:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Also, if you stop and restart the notebook cell, make sure to rerun the cell that starts `ollama serve`.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
